idx,class,conversation
155,일반 대화,"야 오늘 롤 랭겜 돌릴 건데 같이 할래?
너 지금 티어가 어디야? 나 골드 승급전인데.
나? 나 브론즈 1인데. 같이 하면 안 되냐?
야 미안하다. 승급전이라 진짜 빡겜해야 돼서 듀오 못 해.
와 너무하네. 친구보다 티어가 중요하냐?
이건 자존심 문제야. 승급하고 나서 일반 게임 같이 하자.
치사하다 치사해. 나 혼자 돌려서 실버 간다.
그래 파이팅 해라. 올라오면 같이 해줄게.
두고 봐라. 내가 너보다 먼저 플레 간다.
꿈 깨시지. 나 먼저 큐 돌린다."
156,일반 대화,"현우야, 나 잠깐 마트 다녀와야 하는데 자전거 좀 빌려주라.
자전거? 아 지금 바퀴에 바람이 빠져서 못 타.
아 진짜? 펑크 난 거야?
응, 어제 타다가 못 밟아서 터진 것 같아. 수리 맡겨야 돼.
저런, 수리비 꽤 나오겠네. 걸어가야겠다.
미안, 빌려주고 싶은데 상태가 이래서.
아니야 고장 난 건데 어쩔 수 없지. 고치면 말해.
응, 주말에 고치러 가려고. 다녀와.
갔다 오면서 아이스크림 하나 사올게.
오 센스쟁이. 기다리고 있을게."
157,일반 대화,"야 수업 너무 지루하다. 째고 나가서 놀까?
야 너 간도 크다. 담임 선생님한테 걸리면 죽음이야.
에이 안 걸려. 뒷문으로 몰래 나가면 돼. 같이 가자.
싫어. 나 개근상 받아야 돼서 조퇴나 결석 안 해.
재미없는 녀석. 한 번쯤은 일탈도 필요한 법이야.
너나 잘 다녀와. 걸려서 혼나지 말고.
알겠어. 나 없다고 선생님한테 이르지 마라.
안 일러. 대신 걸려도 내 핑계 대지 마.
당연하지. 나 간다. 이따 연락할게.
그래 조심해라."
158,일반 대화,"저기요, 친구분이랑 오셨어요? 저희랑 같이 노실래요?
아, 죄송해요. 저희끼리 할 얘기가 있어서요.
에이 그러지 말고 잠깐이면 되는데. 술 한잔 사드릴게요.
마음은 감사한데 오랜만에 만난 친구라 방해받고 싶지 않네요.
아 네.. 알겠습니다. 너무 단호하시네요.
죄송합니다. 좋은 시간 보내세요.
네, 그쪽분들도 재밌게 노세요.
(친구에게) 휴, 끈질기네.
(자리로 돌아가며) 까였어.
우리끼리 짠 하자."
159,일반 대화,"안녕하세요, 잠시 스티커 설문 하나만 참여해주실 수 있나요?
아, 제가 지금 버스 시간이 다 돼서 바빠서요.
1분이면 끝납니다. 좋은 취지로 하는 거라 부탁드려요.
죄송해요. 지금 뛰어가야 해서요. 다음에 할게요.
네 알겠습니다. 조심히 가세요.
수고하세요.
(다른 사람에게) 안녕하세요 설문 참여 부탁드립니다.
(속마음) 요즘 이런 거 너무 많네.
(계속 호객 중)
(버스정류장 도착)"
160,일반 대화,"미소야, 오늘 저녁에 혹시 시간 돼? 맛있는 거 먹으러 갈까?
오늘? 갑자기 웬일이야? 무슨 좋은 일이라도 있어?
아니, 그냥 오랜만에 얼굴 보고 저녁이나 같이 먹을까 해서 연락했지.
아, 진짜 미안해서 어쩌지. 나 오늘 이미 다른 친구랑 선약이 있어서 못 갈 것 같아.
아 그래? 정말 아쉽네. 중요한 약속인가 보구나.
응, 미리 잡힌 약속이라 취소하기가 좀 곤란해서. 미안해.
아니야, 어쩔 수 없지 뭐. 가족들이랑(친구랑) 즐거운 시간 보내.
고마워. 다음에 시간 될 때 내가 먼저 연락해서 밥 살게.
그래, 주말쯤에 시간 맞으면 그때 보자. 조심해서 들어가.
알겠어. 너도 저녁 챙겨 먹고 들어가. 연락할게."
161,일반 대화,"미소야, 이번에 새로 개봉한 액션 영화 봤어? 재밌다던데.
아니 아직 못 봤어. 예고편 보니까 평점도 좋더라.
그럼 오늘 학교 끝나고 같이 보러 갈래? 내가 예매할게.
아, 나도 너무 보고 싶은데 오늘은 학원 보강이 있어.
저런, 시험 기간도 아닌데 보강을 해? 많이 바쁘겠네.
응, 저번 주에 빠진 게 있어서 오늘 채워야 해. 아쉽다.
공부하느라 고생이 많네. 그럼 영화는 다음에 시간 날 때 보자.
그래, 다음 주 주말쯤이면 시간 괜찮을 것 같아.
알겠어. 그럼 그때 다시 이야기하자. 공부 열심히 해.
응, 이해해줘서 고마워. 나중에 톡 할게."
162,일반 대화,"수진야, 미안한데 혹시 지금 여유 자금 좀 있어?
갑자기 돈은 왜? 무슨 급한 일이라도 생긴 거야?
응, 급하게 살 게 있는데 지금 현금이 조금 부족해서 그래.
아, 정말 미안한데 나도 이번 달 용돈을 다 써서 돈이 없어.
아 그렇구나. 내가 너무 곤란한 부탁을 했네. 미안해.
아니야, 도움이 못 돼서 내가 더 미안해. 많이 급한 거야?
아니야, 다른 친구한테 한번 물어보지 뭐. 신경 쓰지 마.
그래, 잘 해결되길 바랄게. 다음에 맛있는 거 먹자.
응, 걱정해줘서 고마워. 나중에 다시 연락할게.
응, 너무 무리하지 말고. 조심히 들어가."
163,일반 대화,"야 나영, 오늘 수업 끝나고 PC방 가서 게임 한판 할래?
오, 게임? 요즘 랭크 게임 티어 올리는 중이야?
응, 오늘 딱 삘이 와서 너랑 듀오 하면 이길 것 같아서.
아, 진짜 가고 싶은데 오늘은 몸이 좀 안 좋아서 쉬어야 할 것 같아.
어디 많이 아파? 감기 걸린 거야? 목소리가 좀 잠긴 것 같네.
응, 어제부터 으슬으슬하더니 열이 좀 나는 것 같아서.
저런, 그럼 오늘은 무리하지 말고 집 가서 푹 쉬어.
미안해. 컨디션 회복하면 내가 먼저 연락할게.
그래, 약 챙겨 먹고. 게임은 나중에 하면 되니까.
고마워. 너도 오늘 게임 연승하길 바랄게. 안녕."
164,일반 대화,"미소야, 혹시 어제 수학 숙제 다 했어? 문제 너무 어렵더라.
응, 나도 겨우 다 끝냈어. 마지막 문제 진짜 헷갈리던데.
나 진짜 모르겠어서 그러는데 노트 좀 보여줄 수 있어?
음, 미안하지만 그건 좀 곤란해. 선생님이 베끼면 0점 처리하신대.
아 맞다. 이번 수행평가 반영된다고 하셨었지. 내가 깜빡했네.
응, 대신 모르는 부분 물어보면 내가 설명은 해줄 수 있어.
그래주면 정말 고맙지. 이 공식이 도저히 이해가 안 가서.
점심시간에 내가 도서관에서 알려줄게. 그때 보자.
알겠어. 곤란한 부탁 해서 미안하고 도와줘서 고마워.
친구끼리 뭘. 이따 점심 먹고 봐."
165,일반 대화,"수진야, 이번 주말에 애들이랑 바다 보러 가기로 했는데 너도 갈래?
와 바다? 진짜 재밌겠다. 누구누구 가기로 했어?
나랑 철수랑 영희랑 가기로 했어. 너도 가면 딱 맞을 것 같아.
아, 이번 주말은 내가 시골 할머니 댁에 내려가야 해서 못 가.
아 정말? 오랜만에 다 같이 모이는 거라 기대했는데 아쉽네.
그러게. 미리 알았으면 일정을 조정했을 텐데 미안해.
아니야, 할머니 뵙는 게 더 중요하지. 잘 다녀와.
응, 가서 재밌게 놀고 사진 많이 찍어서 보내줘.
알겠어. 너 몫까지 신나게 놀고 올게. 다음에 같이 가자.
그래, 조심히 다녀오고 월요일에 학교에서 보자."
166,일반 대화,"영희야, 나 옷 사러 가야 하는데 내일 시내 같이 가줄 수 있어?
옷? 계절 바뀌어서 새 옷 장만하려고?
응, 입을 옷이 하나도 없어서. 네가 옷 잘 고르잖아.
칭찬은 고마운데 내일은 내가 수행평가 준비 때문에 바빠.
아, 다음 주가 수행평가 주간이었지. 내가 눈치가 없었네.
같이 골라주면 좋은데 시간이 너무 빠듯하네. 미안해.
괜찮아. 공부가 우선이지. 나 혼자 다녀올게.
혹시 고르기 힘들면 사진 찍어서 보내. 봐줄게.
오, 그래주면 완전 땡큐지. 방해 안 되게 몇 개만 보낼게.
그래, 예쁜 옷 잘 건져오길 바랄게. 파이팅."
167,일반 대화,"철수야, 이번 과학 조별 과제 조 짰어? 아직 안 했으면 나랑 할래?
아, 이번 과제 2인 1조로 하는 거 맞지?
응 맞아. 너랑 하면 점수 잘 받을 수 있을 것 같아서.
아 미안, 나 방금 철수랑 같이 하기로 약속했어.
아 그래? 한발 늦었네. 너 인기 많아서 경쟁이 치열하구나.
하하 아니야. 철수가 먼저 물어봐서 그러기로 했어.
알겠어. 그럼 나는 다른 애 찾아봐야겠다.
응, 아직 조 안 짠 애들 많으니까 금방 구할 거야.
그래, 과제 주제 정하면 서로 정보 공유하자.
좋아. 너도 좋은 파트너 구하길 바랄게."
168,일반 대화,"미소야, 잠깐 이야기 좀 할 수 있어? 할 말이 있어서.
응? 무슨 일인데 그래? 분위기가 좀 진지하네.
사실 내가 너를 예전부터 좋아했어. 나랑 사귀어 줄 수 있을까?
아... 정말? 전혀 몰랐어서 좀 당황스럽네.
갑작스러운 거 알아. 부담 주려는 건 아니니까 편하게 말해줘.
내 마음을 솔직하게 말하면, 나는 너를 좋은 친구로만 생각하고 있어.
그렇구나. 아쉽지만 네 마음이 그렇다면 어쩔 수 없지.
미안해. 너 정말 좋은 애지만 지금은 연애할 생각이 없어.
아니야, 솔직하게 말해줘서 고마워. 우리 어색해지지 말자.
응 당연하지. 앞으로도 계속 친하게 지내자."
169,일반 대화,"야 영희, 요즘 살찐 것 같지 않냐? 나랑 헬스장 다닐래?
헬스장? 갑자기 운동 바람이 불었어?
어, 혼자 하려니까 심심해서. 같이 하면 할인도 된대.
조건은 좋은데 나는 헬스는 좀 별로고 수영 배우려고.
아 진짜? 수영 등록했어? 헬스가 더 재밌는데.
물을 좋아해서 수영이 더 맞을 것 같아. 같이 못 해서 미안.
아니야 각자 취향이 있는 거지. 열심히 해봐.
그래 너도 득근하고 몸짱 되라. 나중에 비교해보자.
오냐, 내가 근육 빵빵하게 키워서 보여준다.
기대할게. 다치지 말고 조심히 운동해."
170,일반 대화,"지은야, 너 매점 가는 길이야? 나 가는 김에 부탁 좀 해도 돼?
어? 나 매점 가는 거 아닌데? 화장실 가는 길이야.
아 그래? 빵 하나만 사다 달라고 하려고 했지.
미안, 배 아파서 화장실이 급해. 다른 애한테 부탁해봐.
아 그렇구나. 내가 붙잡아서 미안. 얼른 다녀와.
응, 나중에 갈 때 미리 말할게. 그때 사다 줄게.
그래 알겠어. 시원하게 해결하고 와라.
으... 진짜 급하다. 이따 교실에서 보자.
응 갔다 와.
(후다닥 뛰어감)"
171,일반 대화,"저기 혹시.. 마음에 들어서 그러는데 연락처 좀 알 수 있을까요?
네? 저요? 아... 죄송하지만 제가 남자(여자)친구가 있어서요.
아, 그러시구나. 실례했습니다. 인상이 너무 좋으셔서요.
좋게 봐주셔서 감사합니다. 좋은 분 만나실 거예요.
네, 감사합니다. 즐거운 하루 보내세요.
네, 그쪽도요. 안녕히 가세요.
(어색한 미소) 네...
(친구에게) 야 가자 가자.
(돌아서며) 아쉽네.
(작은 목소리로) 깜짝 놀랐네."
172,일반 대화,"수진야, 너 아직 동아리 안 정했으면 우리 댄스 동아리 들어올래?
댄스 동아리? 와 멋있다. 근데 나는 춤을 진짜 못 춰.
에이 괜찮아. 들어와서 배우면 되지. 선배들이 잘 가르쳐줘.
마음은 고마운데 나는 독서 동아리 생각하고 있어.
아 진짜? 정적인 거 좋아하는구나. 아쉽네.
응, 책 읽는 거 좋아해서. 권유해줘서 고마워.
그래, 네가 하고 싶은 거 해야지. 독서 동아리도 재밌겠다.
응, 축제 때 너네 공연하면 내가 제일 크게 응원할게.
그래 꼭 보러 와라. 약속한 거다?
당연하지. 연습 열심히 해 파이팅!"
173,일반 대화,"수진야, 혹시 보조배터리 있어? 폰이 꺼질 것 같아.
어 있는데 나도 지금 충전 중이라서. 배터리가 10%밖에 없어.
아 그래? 그럼 어쩔 수 없네. 충전 다 되면 빌려줄 수 있어?
응, 한 30분 정도면 될 것 같아. 그때 줄게.
알겠어. 그럼 그때까지만 좀 버텨봐야겠다.
교실 뒤에 콘센트 비어있던데 거기 충전기 꽂아봐.
아 충전기를 안 가져왔어. 괜찮아 기다릴게.
그래 조금만 기다려. 금방 채우고 줄게.
땡큐. 너밖에 없다 진짜.
하하 별말을 다 하네."
174,일반 대화,"영희야, 나 오늘 1교시 늦을 것 같은데 대출 좀 해줄 수 있어?
대리 출석? 야 그건 좀 위험하지 않아? 교수님 깐깐하신데.
한 번만 부탁할게. 어제 알바하느라 늦잠 잤어.
미안해. 저번에 걸려서 F 받은 선배 봤어. 무서워서 못 하겠어.
아 진짜? 그 정도야? 알겠어 부탁 안 할게.
응, 차라리 늦더라도 와서 교수님께 솔직히 말씀드려.
그래야겠다. 괜히 너까지 피해 보면 안 되니까.
얼른 씻고 뛰어와. 아직 10분 남았어.
지금 택시 탔어. 최대한 빨리 갈게.
그래 조심히 오고 이따 강의실에서 봐."
175,일반 대화,"야 오늘 롤 랭겜 돌릴 건데 같이 할래?
너 지금 티어가 어디야? 나 골드 승급전인데.
나? 나 브론즈 1인데. 같이 하면 안 되냐?
야 미안하다. 승급전이라 진짜 빡겜해야 돼서 듀오 못 해.
와 너무하네. 친구보다 티어가 중요하냐?
이건 자존심 문제야. 승급하고 나서 일반 게임 같이 하자.
치사하다 치사해. 나 혼자 돌려서 실버 간다.
그래 파이팅 해라. 올라오면 같이 해줄게.
두고 봐라. 내가 너보다 먼저 플레 간다.
꿈 깨시지. 나 먼저 큐 돌린다."
176,일반 대화,"민수야, 나 잠깐 마트 다녀와야 하는데 자전거 좀 빌려주라.
자전거? 아 지금 바퀴에 바람이 빠져서 못 타.
아 진짜? 펑크 난 거야?
응, 어제 타다가 못 밟아서 터진 것 같아. 수리 맡겨야 돼.
저런, 수리비 꽤 나오겠네. 걸어가야겠다.
미안, 빌려주고 싶은데 상태가 이래서.
아니야 고장 난 건데 어쩔 수 없지. 고치면 말해.
응, 주말에 고치러 가려고. 다녀와.
갔다 오면서 아이스크림 하나 사올게.
오 센스쟁이. 기다리고 있을게."
177,일반 대화,"야 수업 너무 지루하다. 째고 나가서 놀까?
야 너 간도 크다. 담임 선생님한테 걸리면 죽음이야.
에이 안 걸려. 뒷문으로 몰래 나가면 돼. 같이 가자.
싫어. 나 개근상 받아야 돼서 조퇴나 결석 안 해.
재미없는 녀석. 한 번쯤은 일탈도 필요한 법이야.
너나 잘 다녀와. 걸려서 혼나지 말고.
알겠어. 나 없다고 선생님한테 이르지 마라.
안 일러. 대신 걸려도 내 핑계 대지 마.
당연하지. 나 간다. 이따 연락할게.
그래 조심해라."
178,일반 대화,"저기요, 친구분이랑 오셨어요? 저희랑 같이 노실래요?
아, 죄송해요. 저희끼리 할 얘기가 있어서요.
에이 그러지 말고 잠깐이면 되는데. 술 한잔 사드릴게요.
마음은 감사한데 오랜만에 만난 친구라 방해받고 싶지 않네요.
아 네.. 알겠습니다. 너무 단호하시네요.
죄송합니다. 좋은 시간 보내세요.
네, 그쪽분들도 재밌게 노세요.
(친구에게) 휴, 끈질기네.
(자리로 돌아가며) 까였어.
우리끼리 짠 하자."
179,일반 대화,"안녕하세요, 잠시 스티커 설문 하나만 참여해주실 수 있나요?
아, 제가 지금 버스 시간이 다 돼서 바빠서요.
1분이면 끝납니다. 좋은 취지로 하는 거라 부탁드려요.
죄송해요. 지금 뛰어가야 해서요. 다음에 할게요.
네 알겠습니다. 조심히 가세요.
수고하세요.
(다른 사람에게) 안녕하세요 설문 참여 부탁드립니다.
(속마음) 요즘 이런 거 너무 많네.
(계속 호객 중)
(버스정류장 도착)"
180,일반 대화,"영희야, 오늘 저녁에 혹시 시간 돼? 맛있는 거 먹으러 갈까?
오늘? 갑자기 웬일이야? 무슨 좋은 일이라도 있어?
아니, 그냥 오랜만에 얼굴 보고 저녁이나 같이 먹을까 해서 연락했지.
아, 진짜 미안해서 어쩌지. 나 오늘 몸살 기운이 있어서 좀 쉬려고 못 갈 것 같아.
아 그래? 정말 아쉽네. 중요한 약속인가 보구나.
응, 미리 잡힌 약속이라 취소하기가 좀 곤란해서. 미안해.
아니야, 어쩔 수 없지 뭐. 가족들이랑(친구랑) 즐거운 시간 보내.
고마워. 다음에 시간 될 때 내가 먼저 연락해서 밥 살게.
그래, 주말쯤에 시간 맞으면 그때 보자. 조심해서 들어가.
알겠어. 너도 저녁 챙겨 먹고 들어가. 연락할게."
181,일반 대화,"성민야, 이번에 새로 개봉한 액션 영화 봤어? 재밌다던데.
아니 아직 못 봤어. 예고편 보니까 평점도 좋더라.
그럼 오늘 학교 끝나고 같이 보러 갈래? 내가 예매할게.
아, 나도 너무 보고 싶은데 오늘은 학원 보강이 있어.
저런, 시험 기간도 아닌데 보강을 해? 많이 바쁘겠네.
응, 저번 주에 빠진 게 있어서 오늘 채워야 해. 아쉽다.
공부하느라 고생이 많네. 그럼 영화는 다음에 시간 날 때 보자.
그래, 다음 주 주말쯤이면 시간 괜찮을 것 같아.
알겠어. 그럼 그때 다시 이야기하자. 공부 열심히 해.
응, 이해해줘서 고마워. 나중에 톡 할게."
182,일반 대화,"철수야, 미안한데 혹시 지금 여유 자금 좀 있어?
갑자기 돈은 왜? 무슨 급한 일이라도 생긴 거야?
응, 급하게 살 게 있는데 지금 현금이 조금 부족해서 그래.
아, 정말 미안한데 나도 이번 달 용돈을 다 써서 돈이 없어.
아 그렇구나. 내가 너무 곤란한 부탁을 했네. 미안해.
아니야, 도움이 못 돼서 내가 더 미안해. 많이 급한 거야?
아니야, 다른 친구한테 한번 물어보지 뭐. 신경 쓰지 마.
그래, 잘 해결되길 바랄게. 다음에 맛있는 거 먹자.
응, 걱정해줘서 고마워. 나중에 다시 연락할게.
응, 너무 무리하지 말고. 조심히 들어가."
183,일반 대화,"야 성민, 오늘 수업 끝나고 PC방 가서 게임 한판 할래?
오, 게임? 요즘 랭크 게임 티어 올리는 중이야?
응, 오늘 딱 삘이 와서 너랑 듀오 하면 이길 것 같아서.
아, 진짜 가고 싶은데 오늘은 몸이 좀 안 좋아서 쉬어야 할 것 같아.
어디 많이 아파? 감기 걸린 거야? 목소리가 좀 잠긴 것 같네.
응, 어제부터 으슬으슬하더니 열이 좀 나는 것 같아서.
저런, 그럼 오늘은 무리하지 말고 집 가서 푹 쉬어.
미안해. 컨디션 회복하면 내가 먼저 연락할게.
그래, 약 챙겨 먹고. 게임은 나중에 하면 되니까.
고마워. 너도 오늘 게임 연승하길 바랄게. 안녕."
184,일반 대화,"혜진야, 혹시 어제 수학 숙제 다 했어? 문제 너무 어렵더라.
응, 나도 겨우 다 끝냈어. 마지막 문제 진짜 헷갈리던데.
나 진짜 모르겠어서 그러는데 노트 좀 보여줄 수 있어?
음, 미안하지만 그건 좀 곤란해. 선생님이 베끼면 0점 처리하신대.
아 맞다. 이번 수행평가 반영된다고 하셨었지. 내가 깜빡했네.
응, 대신 모르는 부분 물어보면 내가 설명은 해줄 수 있어.
그래주면 정말 고맙지. 이 공식이 도저히 이해가 안 가서.
점심시간에 내가 도서관에서 알려줄게. 그때 보자.
알겠어. 곤란한 부탁 해서 미안하고 도와줘서 고마워.
친구끼리 뭘. 이따 점심 먹고 봐."
185,일반 대화,"수진야, 이번 주말에 애들이랑 바다 보러 가기로 했는데 너도 갈래?
와 바다? 진짜 재밌겠다. 누구누구 가기로 했어?
나랑 철수랑 영희랑 가기로 했어. 너도 가면 딱 맞을 것 같아.
아, 이번 주말은 내가 시골 할머니 댁에 내려가야 해서 못 가.
아 정말? 오랜만에 다 같이 모이는 거라 기대했는데 아쉽네.
그러게. 미리 알았으면 일정을 조정했을 텐데 미안해.
아니야, 할머니 뵙는 게 더 중요하지. 잘 다녀와.
응, 가서 재밌게 놀고 사진 많이 찍어서 보내줘.
알겠어. 너 몫까지 신나게 놀고 올게. 다음에 같이 가자.
그래, 조심히 다녀오고 월요일에 학교에서 보자."
186,일반 대화,"미소야, 나 옷 사러 가야 하는데 내일 시내 같이 가줄 수 있어?
옷? 계절 바뀌어서 새 옷 장만하려고?
응, 입을 옷이 하나도 없어서. 네가 옷 잘 고르잖아.
칭찬은 고마운데 내일은 내가 수행평가 준비 때문에 바빠.
아, 다음 주가 수행평가 주간이었지. 내가 눈치가 없었네.
같이 골라주면 좋은데 시간이 너무 빠듯하네. 미안해.
괜찮아. 공부가 우선이지. 나 혼자 다녀올게.
혹시 고르기 힘들면 사진 찍어서 보내. 봐줄게.
오, 그래주면 완전 땡큐지. 방해 안 되게 몇 개만 보낼게.
그래, 예쁜 옷 잘 건져오길 바랄게. 파이팅."
187,일반 대화,"수진야, 이번 과학 조별 과제 조 짰어? 아직 안 했으면 나랑 할래?
아, 이번 과제 2인 1조로 하는 거 맞지?
응 맞아. 너랑 하면 점수 잘 받을 수 있을 것 같아서.
아 미안, 나 방금 철수랑 같이 하기로 약속했어.
아 그래? 한발 늦었네. 너 인기 많아서 경쟁이 치열하구나.
하하 아니야. 철수가 먼저 물어봐서 그러기로 했어.
알겠어. 그럼 나는 다른 애 찾아봐야겠다.
응, 아직 조 안 짠 애들 많으니까 금방 구할 거야.
그래, 과제 주제 정하면 서로 정보 공유하자.
좋아. 너도 좋은 파트너 구하길 바랄게."
188,일반 대화,"혜진야, 잠깐 이야기 좀 할 수 있어? 할 말이 있어서.
응? 무슨 일인데 그래? 분위기가 좀 진지하네.
사실 내가 너를 예전부터 좋아했어. 나랑 사귀어 줄 수 있을까?
아... 정말? 전혀 몰랐어서 좀 당황스럽네.
갑작스러운 거 알아. 부담 주려는 건 아니니까 편하게 말해줘.
내 마음을 솔직하게 말하면, 나는 너를 좋은 친구로만 생각하고 있어.
그렇구나. 아쉽지만 네 마음이 그렇다면 어쩔 수 없지.
미안해. 너 정말 좋은 애지만 지금은 연애할 생각이 없어.
아니야, 솔직하게 말해줘서 고마워. 우리 어색해지지 말자.
응 당연하지. 앞으로도 계속 친하게 지내자."
189,일반 대화,"야 동현, 요즘 살찐 것 같지 않냐? 나랑 헬스장 다닐래?
헬스장? 갑자기 운동 바람이 불었어?
어, 혼자 하려니까 심심해서. 같이 하면 할인도 된대.
조건은 좋은데 나는 헬스는 좀 별로고 수영 배우려고.
아 진짜? 수영 등록했어? 헬스가 더 재밌는데.
물을 좋아해서 수영이 더 맞을 것 같아. 같이 못 해서 미안.
아니야 각자 취향이 있는 거지. 열심히 해봐.
그래 너도 득근하고 몸짱 되라. 나중에 비교해보자.
오냐, 내가 근육 빵빵하게 키워서 보여준다.
기대할게. 다치지 말고 조심히 운동해."
190,일반 대화,"성민야, 너 매점 가는 길이야? 나 가는 김에 부탁 좀 해도 돼?
어? 나 매점 가는 거 아닌데? 화장실 가는 길이야.
아 그래? 빵 하나만 사다 달라고 하려고 했지.
미안, 배 아파서 화장실이 급해. 다른 애한테 부탁해봐.
아 그렇구나. 내가 붙잡아서 미안. 얼른 다녀와.
응, 나중에 갈 때 미리 말할게. 그때 사다 줄게.
그래 알겠어. 시원하게 해결하고 와라.
으... 진짜 급하다. 이따 교실에서 보자.
응 갔다 와.
(후다닥 뛰어감)"
191,일반 대화,"저기 혹시.. 마음에 들어서 그러는데 연락처 좀 알 수 있을까요?
네? 저요? 아... 죄송하지만 제가 남자(여자)친구가 있어서요.
아, 그러시구나. 실례했습니다. 인상이 너무 좋으셔서요.
좋게 봐주셔서 감사합니다. 좋은 분 만나실 거예요.
네, 감사합니다. 즐거운 하루 보내세요.
네, 그쪽도요. 안녕히 가세요.
(어색한 미소) 네...
(친구에게) 야 가자 가자.
(돌아서며) 아쉽네.
(작은 목소리로) 깜짝 놀랐네."
192,일반 대화,"현우야, 너 아직 동아리 안 정했으면 우리 댄스 동아리 들어올래?
댄스 동아리? 와 멋있다. 근데 나는 춤을 진짜 못 춰.
에이 괜찮아. 들어와서 배우면 되지. 선배들이 잘 가르쳐줘.
마음은 고마운데 나는 독서 동아리 생각하고 있어.
아 진짜? 정적인 거 좋아하는구나. 아쉽네.
응, 책 읽는 거 좋아해서. 권유해줘서 고마워.
그래, 네가 하고 싶은 거 해야지. 독서 동아리도 재밌겠다.
응, 축제 때 너네 공연하면 내가 제일 크게 응원할게.
그래 꼭 보러 와라. 약속한 거다?
당연하지. 연습 열심히 해 파이팅!"
193,일반 대화,"영희야, 혹시 보조배터리 있어? 폰이 꺼질 것 같아.
어 있는데 나도 지금 충전 중이라서. 배터리가 10%밖에 없어.
아 그래? 그럼 어쩔 수 없네. 충전 다 되면 빌려줄 수 있어?
응, 한 30분 정도면 될 것 같아. 그때 줄게.
알겠어. 그럼 그때까지만 좀 버텨봐야겠다.
교실 뒤에 콘센트 비어있던데 거기 충전기 꽂아봐.
아 충전기를 안 가져왔어. 괜찮아 기다릴게.
그래 조금만 기다려. 금방 채우고 줄게.
땡큐. 너밖에 없다 진짜.
하하 별말을 다 하네."
194,일반 대화,"영희야, 나 오늘 1교시 늦을 것 같은데 대출 좀 해줄 수 있어?
대리 출석? 야 그건 좀 위험하지 않아? 교수님 깐깐하신데.
한 번만 부탁할게. 어제 알바하느라 늦잠 잤어.
미안해. 저번에 걸려서 F 받은 선배 봤어. 무서워서 못 하겠어.
아 진짜? 그 정도야? 알겠어 부탁 안 할게.
응, 차라리 늦더라도 와서 교수님께 솔직히 말씀드려.
그래야겠다. 괜히 너까지 피해 보면 안 되니까.
얼른 씻고 뛰어와. 아직 10분 남았어.
지금 택시 탔어. 최대한 빨리 갈게.
그래 조심히 오고 이따 강의실에서 봐."
195,일반 대화,"야 오늘 롤 랭겜 돌릴 건데 같이 할래?
너 지금 티어가 어디야? 나 골드 승급전인데.
나? 나 브론즈 1인데. 같이 하면 안 되냐?
야 미안하다. 승급전이라 진짜 빡겜해야 돼서 듀오 못 해.
와 너무하네. 친구보다 티어가 중요하냐?
이건 자존심 문제야. 승급하고 나서 일반 게임 같이 하자.
치사하다 치사해. 나 혼자 돌려서 실버 간다.
그래 파이팅 해라. 올라오면 같이 해줄게.
두고 봐라. 내가 너보다 먼저 플레 간다.
꿈 깨시지. 나 먼저 큐 돌린다."
196,일반 대화,"철수야, 나 잠깐 마트 다녀와야 하는데 자전거 좀 빌려주라.
자전거? 아 지금 바퀴에 바람이 빠져서 못 타.
아 진짜? 펑크 난 거야?
응, 어제 타다가 못 밟아서 터진 것 같아. 수리 맡겨야 돼.
저런, 수리비 꽤 나오겠네. 걸어가야겠다.
미안, 빌려주고 싶은데 상태가 이래서.
아니야 고장 난 건데 어쩔 수 없지. 고치면 말해.
응, 주말에 고치러 가려고. 다녀와.
갔다 오면서 아이스크림 하나 사올게.
오 센스쟁이. 기다리고 있을게."
197,일반 대화,"야 수업 너무 지루하다. 째고 나가서 놀까?
야 너 간도 크다. 담임 선생님한테 걸리면 죽음이야.
에이 안 걸려. 뒷문으로 몰래 나가면 돼. 같이 가자.
싫어. 나 개근상 받아야 돼서 조퇴나 결석 안 해.
재미없는 녀석. 한 번쯤은 일탈도 필요한 법이야.
너나 잘 다녀와. 걸려서 혼나지 말고.
알겠어. 나 없다고 선생님한테 이르지 마라.
안 일러. 대신 걸려도 내 핑계 대지 마.
당연하지. 나 간다. 이따 연락할게.
그래 조심해라."
198,일반 대화,"저기요, 친구분이랑 오셨어요? 저희랑 같이 노실래요?
아, 죄송해요. 저희끼리 할 얘기가 있어서요.
에이 그러지 말고 잠깐이면 되는데. 술 한잔 사드릴게요.
마음은 감사한데 오랜만에 만난 친구라 방해받고 싶지 않네요.
아 네.. 알겠습니다. 너무 단호하시네요.
죄송합니다. 좋은 시간 보내세요.
네, 그쪽분들도 재밌게 노세요.
(친구에게) 휴, 끈질기네.
(자리로 돌아가며) 까였어.
우리끼리 짠 하자."
199,일반 대화,"안녕하세요, 잠시 스티커 설문 하나만 참여해주실 수 있나요?
아, 제가 지금 버스 시간이 다 돼서 바빠서요.
1분이면 끝납니다. 좋은 취지로 하는 거라 부탁드려요.
죄송해요. 지금 뛰어가야 해서요. 다음에 할게요.
네 알겠습니다. 조심히 가세요.
수고하세요.
(다른 사람에게) 안녕하세요 설문 참여 부탁드립니다.
(속마음) 요즘 이런 거 너무 많네.
(계속 호객 중)
(버스정류장 도착)"
