conversation,true_label,pred_label,error_pair
배고픈데 빵 좀 사와라 [SEP] 너가 좀 가 [SEP] 너가 가고 싶지 않으면 조용히 해 [SEP] 애들 그만 좀 시켜 [SEP] 너가 해라 그럼 [SEP] 싫어 [SEP] 싫어? 싫다 하면 끝이야? [SEP] 애들 그만 시키라고 [SEP] 그러니까 너가 해 아니면 넌 내 손에 맞아 죽어 [SEP] 하,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
죄송하지만 좀 조용히 해주시겠어요? [SEP] 왜요? [SEP] 제가 잠을 좀 자려는 데 시끄러워서요. [SEP] 하하하 [SEP] 여보세요! 발로 그만 차세요. [SEP] 안했어요? 무슨소리에요? [SEP] 발로 차놓고서 안했다고 하나요? 여기 있어요! [SEP] 그래? 있으면 어쩔건대? [SEP] 공공장소에서 통화 간단히 하셔야죠. 30분 이상 떠들면 어떻게 합니까? [SEP] 내가 내 입갖고 말하는 데 네가 보태준거 있어? 죽을래?,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야 별이 핸드폰에 이상한 영상 있더라 [SEP] 그게 뭔데? [SEP] 노래방에서 알바한 영상 이던가? [SEP] 뭔 헛소리야 [SEP] 너네 남편이 알아도 그럴까? [SEP] 나 일리가 없잖아 [SEP] 그럼 영상 보내볼게 보고도 그런지 보자 [SEP] 나아니라구 [SEP] 그래? 그럼 너네 남편에게도 보내보면 알겠지 새끼야 [SEP] 너 협박죄야 이거,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
나 너 살 안 빼면 헤어질거야 [SEP] 뭐? 진짜 내가 그 말 하지 말라고 했지 [SEP] 나 너 뱃살 있는 거 진짜 싫어 [SEP] 개새끼 [SEP] 살 얼른 빼 보기 싫으니까 [SEP] 작작 말해 미친 새끼 [SEP] 응응 이번에 살 안 빼면 진짜 나랑 그만 만나 [SEP] 알겠어 오빠 [SEP] 그래 뚱땡아아 [SEP] 응응 알겠어,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
빌려간돈 500만원 갚겠다고한지가 벌써 2주가 지났는데 언제 갚을거요? [SEP] 거래처에서 주기로 한돈이 아직 입금이 안됐는데 몇일만 기다려주시죠 [SEP] 그렇게 미룬지가 벌써 3번째인데 왜자꾸 미룹니까? [SEP] 돈이 있으면 당장 드리죠 없으니 못드리는겁니다 [SEP] 자꾸 이런식으로 나오면 당신 회사로 쳐들어갈거요 험한꼴 안당할려면 당장 오늘까지 500 입금하세요 [SEP] 지금 협박하는거요? 있는데 안주는것도 아니고 맘데로 하세요 [SEP] 이거 안되겠네 너 집에 처자식 앞에서 맞아볼래? 내가 좋은 말로 하니까 우습지? [SEP] 맘대로 하라니까 지금은 돈 없어 못줘 기다릴거면 기다리고 [SEP] 이 새끼가 너 밤길 조심해라 대가리 깨지는 수가있다 잔말 말고 당장 돈 갖고 와 [SEP] 지금 통화내용 다 녹음했고 협박죄로 신거할거요,협박 대화,갈취 대화,Threat -> Extortion
야 뒤질래? [SEP] 하하 성찬아 왜 그래? 내가 뭐. 잘못했어? [SEP] 내가 오늘까지 내 아이디 레벨 30 만들어 오랬지. 만만하냐 이제? [SEP] 아. 진짜 미안해. 엄마가 컴퓨터 선을 뽑아버렸어. [SEP] 그 자식에 그 어미네. 야 내가 너 괴롭히는거야? [SEP] 괴롭히다니. 우리 친구잖아. [SEP] 그치 우리 친구지. 근데 왜 친구 부탁 안 들어줘? 개같이 맞을래? [SEP] 내가 내일까지는 무조건 해올게. 정말 미안해! [SEP] 내일까지 안 해오면 너 애들 앞에서 바지 벗을 줄 알아. [SEP] 미안해 성찬아.,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야. 보이냐? 개멋있지. 오백만원짜리 시계야. [SEP] 응. [SEP] 한번 만져나볼래? 아. 넌 본적도 없어서 뭐가 뭔지도 모르겠지? [SEP] 불쌍해라 불쌍해. 넌 여기있으면 안되고 후원 받는데 들어가야돼. [SEP] 아니야. 나도 열심히 살고 있어. [SEP] 열심히 산다고 돈이 들어와? 어휴 냄새. 좀 씻고나 다녀라 [SEP] . [SEP] 옷도 그게 뭐냐. 너 옷 일주일동안 입지? 촌스럽긴. [SEP] 아니야.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
니가 내책가져갓냐 [SEP] 잠깐 빌려 간거야 [SEP] 그럼 말을 하고 빌려가던가 [SEP] 잠깐 보고 냅둘랴고 했어 [SEP] 근데 왜 아직 들고 잇냐 [SEP] 책하나 가지고 왜그러냐 [SEP] 당장 내놔라 [SEP] 아직 덜 봣어 다보고 줄게 [SEP] 죽고 싶냐 당장 내놔라 [SEP] 너 협박죄로 고소할꺼야,협박 대화,갈취 대화,Threat -> Extortion
그게 사실이야? [SEP] 죄송합니다 그게. [SEP] 솔직히 너가 그랬을 거라고 생각하지 않아. [SEP] .아닙니다 [SEP] 한테 상황 들었어. 괘씸한 가 아픈 아이 가지고 협박을 했다던데. [SEP] 그건.! [SEP] 나 믿지? 말해봐. [SEP] 제가 그 일을 하지 않으면 제 아이 병원비를 끊을 것이며 최대한 고통스럽게 질식시킬거라고. [SEP] 이런 그 돈은 걱정말아. 내가 대신 내줄게. [SEP] 네 회장님.,협박 대화,갈취 대화,Threat -> Extortion
야 빵좀 사와 [SEP] 미안해 나영아 나 오늘은 돈이 없어 [SEP] 아니 이 미친놈이 그럼 다른 애들 삥 뜯어서라도 구해와 [SEP] 아니 내가 어떡해 그렇게 하니 [SEP] 이 새끼가 대들어? 그럼 빵을 훔쳐서라도 오라고 미친것아 [SEP] 너 이상해 도대체 왜 그러는거야 [SEP] 아니 이 미친것이 우리가 우습나 그냥 니가 만만하니까 그런거지 [SEP] 아 아 그렇구나 [SEP] 아 아 그렇구나 그런식으로 말만 하지말고 빨리 사와 쓰레기야,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
야 너 [SEP] 저요.? [SEP] 그래 일로와바 [SEP] 네. [SEP] 왜 선배보고 인사 안하지? [SEP] 죄송합니다. [SEP] 내가 약해보이는구나 한번 혼좀 나볼까? [SEP] 니요. 죄송합니다 [SEP] 죄송하면 다야? 재수가 없으려니까 내가 171 로 애새끼들 넉다운 시킨 사람이야 너도 두개골 깨지고 싶냐? [SEP] 죄송합니다 선배님,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
이거 도와주세요. [SEP] 난 지금 바빠서 도와줄 시간이 없어. [SEP] 넌 바쁠 때 항상 바쁜척 하더라 [SEP] 바쁜척 하는 게 아니라 실제로 바빠. [SEP] 지금까지 놀다가 바쁜척 하는 거 알아 [SEP] 진짜 바쁘다니까. 내 말을 뭘로 알아 [SEP] 니가 평상시에 하는 행동을 보면 매번 그렇더라 [SEP] 니가 미쳤군. 사람 말을 못믿는 걸 보면 [SEP] 너야 말로 진짜 미친 놈이야. [SEP] 넌 이성을 잃었여. 평상시도 제정신이 아니었지만.,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
책임자 바꿔. [SEP] 아 고객님 저한테 말씀하시면. [SEP] 네가 뭘 안다고 그래? [SEP] 고객님 일단 말씀해 주시면 [SEP] 잔말 말고 책임자 바꿔. [SEP] 고객님 문제점을 말씀해 주셔야 [SEP] 아 너같은 말단하고는 말하기 싫다니까 [SEP] 문제점을 먼저 말씀하지 않으시면 저도 방법이 없습니다. [SEP] 뭐라고. 넌 고객은 왕이란 말도 몰라. [SEP] 그런게 아니고 [SEP] 아니긴 뭐가 아냐. 당장 책임자 바꿔.,기타 괴롭힘 대화,직장 내 괴롭힘 대화,Other_Bullying -> Workplace_Bullying
어이 코털 [SEP] 왜 [SEP] 왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라 [SEP] 나 돈없어 [SEP] 돈없어? 그럼 내가 돈줄께 [SEP] 어 [SEP] 여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라 [SEP] 야 택도없어 [SEP] 야 뒤질래? 쌔벼서라도 갖고와 색키야 [SEP] 야,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
사퇴하시죠. [SEP] 무슨 소립니까? [SEP] 의원님이 뇌물을 받으신 거 다 알고 있습니다. [SEP] 나 윤석룔 정치인생 30년 양심에 걸릴 게 없는 사람이오! [SEP] 입에 침이나 바르시고 말씀하시지요. [SEP] 어디 감히.! [SEP] 증거가 있습니다. 배려해 드릴 때 스스로 물러나십시오. [SEP] 증거가 있다니! 어디서 생 사람 잡는 소리를 합니까! [SEP] 저는 분명히 기회를 드렸습니다. 내일 아침까지 발표를 하지 않으신다면 증거 자료를 인터넷에 뿌리겠습니다. [SEP] 꺼져! 꺼지라고!,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
너 언제부터 휠체어 타고 다녔냐? [SEP] 나 어려서부터 [SEP] 그럼 니 부모님이 너 그렇게 태어나게 한거야? [SEP] 몰라. [SEP] 니 부모님도 다리 못쓰시니? [SEP] 아니야. 제발 그만해. [SEP] 넘어뜨려 버리기 ! [SEP] 으악! [SEP] 언제까지 이렇게 살거야 혼자 일어날수 있어야지! [SEP] 으흑.제발. 살려줘.,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야 머하냐? [SEP] 학원가려고. [SEP] 돈 좀 있냐? [SEP] 아니 없어. [SEP] 야 니가 머가 없어 니 손에 든건 머냐? [SEP] 내 밥이야. [SEP] 돈이 없으면 니 밥이라도 줘야지 [SEP] 싫어. [SEP] 머 싫어? 이게 죽고싶나 [SEP] 아니. 너 돈 있잖아. 그걸로 사먹어.,협박 대화,갈취 대화,Threat -> Extortion
여보세요 ? 누구세요 ? [SEP] 나야. 수철이. [SEP] 김수철? [SEP] 어. 이제서야 전화 받는구나. [SEP] 그야 니가 하루에 몇십통씩 계속 전화하니까 그렇지. 근데 이 번호는 또 뭐야? [SEP] 니가 내 전화 피하는 거 같아서 친구 핸드폰으로 하는거야. [SEP] 너 진짜 무서운 애구나. 나한테 왜 그러는건데? [SEP] 니가 내 전화만 안피했어도 이렇게 안해. [SEP] 제발 내 시간 좀 방해하지마. 숨막혀. 끊는다. [SEP] 앞으로 내 전화 바로바로 안받으면 앞으로는 더 심하게 할거니까. 잘 받아라.,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
학생 길가에서 담배를 피면 어떡해? [SEP] 아저씨가 뭔데요? [SEP] 그냥 지나가다가 연기가 너무 심하니깐 그렇지. [SEP] 그냥 가던길 가세요 죽기 싫으면. [SEP] 학생 참 말하는 싸가지가 없구만 [SEP] 아저씨 제가 싸가지가 있던 없던 죽기 싫으면 갈 길 가시라구요. [SEP] 넌 부모님도 안계시냐? [SEP] 없는데 어쩌라고? 부모가 밥먹여줘? 담배를 사줘? [SEP] 아휴 요즘 젊은 것들이란. [SEP] 저 노인이 뒤져볼라고 환장했나?,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
옷이 왜그래? [SEP] 어떤 스타일을 좋아하시는건지? [SEP] 얼굴이 안되면 옷이라도 잘입던가 [SEP] 네? [SEP] 스타일로라도 커버를 해야지 [SEP] 네? [SEP] 그러고 외출하기 부끄럽지 않냐? [SEP] 각자 스타일인데. [SEP] 좀 신경을 쓰라고 [SEP] 네.,기타 괴롭힘 대화,직장 내 괴롭힘 대화,Other_Bullying -> Workplace_Bullying
김팀장 립스틱샀어? 이번 신상이네? [SEP] 네 [SEP] 너무 이쁘다 나도 발라보자 [SEP] 네? [SEP] 어머 어머 나랑 톤도 잘맞네 이거 나좀 빌려주라 [SEP] 네? [SEP] 오늘 저녁 맞선보러 가는데 이 립스틱이 찰떡이라 수정화장할때 쓰면 좋을것같아 [SEP] 어제 샀는데. [SEP] 아니 누가 가져간대? 쓰고 돌려주면 될거아니야 왜이렇게 심보가 못됐어? 내가 맞선 잘안됐으면 좋겠니? 김팀장은? [SEP] 아니요.그건 아닌데.,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
어이 너 입고 있는 코트 멋있다 [SEP] 저요? [SEP] 그래. 너 말고 여기 또 누구 있나 [SEP] 코트 이거 아빠가 사 준거에요. 안 돼요 [SEP] 그러면 바지라도 벗어 주고 가던지 [SEP] 싫어요 [SEP] 그럼 딱 10대만 맞자. 그러면 가도 돼 [SEP] 신고할거에요 [SEP] 법보다 주먹이 가깝지 [SEP] 여기 좀 도와주세요!,갈취 대화,협박 대화,Extortion -> Threat
아 진짜 짜증나게하네 [SEP] 너 그냥 맞자 [SEP] 내가 뭘했는데 왜그래 [SEP] 일단 맞으면 알겠지 [SEP] 제발 무리한 것좀 시키지마 [SEP] 이게 무리하다고? 지금까지 잘했잖아 우쭈쭈 [SEP] 야 얘 동생있잖아 그 학교 다니는 [SEP] 아 걔가 얘 동생이야? [SEP] 제발 동생은 냅 둬 건들지마 제발 [SEP] 너 하는 거 봐서,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
친구야 이따 시험때 답좀 슬쩍 보여주라. [SEP] 그건 어려울것 같은데. [SEP] 와.친구사이에 이러기냐? [SEP] 미안. 걸리면 0점이잖아. [SEP] 그러면 너 지난번에 과제 내꺼 베껴서 제출한거 내가 조교님께 말한다? [SEP] 아니 그건 지난일인데 왜 이제와서 말해. [SEP] 지금이라도 말하면 너 점수깍일걸? 생각 잘해라. [SEP] 하. 그래도 시험컨닝은 좀. [SEP] 그래 그럼 나는 지금 조교님한테 간다. [SEP] 알았어 보여주면 되잖아.,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
김 과장 이번 일은 자네가 책임지고 해결하게. [SEP] 부장님.하지만 이번 일은 부장님께서그렇게 지시하시지 않았습니까.? [SEP] 무슨 소리인가 자네. 난 그런 일 지시한 적 없다네. 자네 요즘 정신태도가 글러먹은거 아닌가? [SEP] 부장님 그게 아니라. 아무래도 이건. 제가 잘못했다고 생각되지 않습니다. [SEP] 어디서 꼬박꼬박 말대꾸인가! [SEP] 부장님. 제발 봐주십시오. 부탁 드립니다. [SEP] 김 과장 자네 곧 셋째가 태어난다고 하지 않았나? 아이들 먹여살리기 빠듯할텐데. 일 잃으면 어쩌려고 내게 큰 소리치나. 자네 같은 사원 하나 짜르는건 일도 아니야. [SEP] 부장님.알겠습니다. 제가 처리하겠습니다. [SEP] 이제서야 말을 알아듣는군. 똑바로 하게. 이번 한 번은 봐주지만 다음에 이러면 일 잃은거로는 끝나지 않을것이야. 자네 가족들도 다치겠지. [SEP] 제발 가족만은.! 뭐든지 다 하겠습니다. 용서해주십시오.,직장 내 괴롭힘 대화,협박 대화,Workplace_Bullying -> Threat
대체 제게 왜 그러세요 ? [SEP] 순이씨가 좋아서 그렇죠 [SEP] 왜 그러세요 불쾌 합니다 [SEP] 좋아서 그래요 [SEP] 자꾸 쫓아다니시면 저는 너무 힘들어요 [SEP] 내일도 올게요 이시간에요 [SEP] 절대 오지 마세요 [SEP] 그건 제마음입니다 [SEP] 괴롭히지 마세요 [SEP] 저는 기다릴겁니다,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
파일 잘 숨겼지? [SEP] 예 그럼요. 경찰들 찾기 어려울겁니다 [SEP] 그래. 어디에 숨겼어? [SEP] 하하 그걸 말하면 안되죠. 위에서 저만 알고 있으라는 지시가 있었는데요 [SEP] 씁 이사람아 내가 알아야 비상시에 협조를 할거 아닌가. [SEP] 이상하십니다? 윗선에서 내려온 지신데 따르시지 않고. 혹시 캥기는거 있으십니까? [SEP] 난 말이야 알아도 모른척 모르면 더 모른척 하는 사람 좋아해. 승진에 관심이 없나봐? [SEP] 예? [SEP] 이번 승진 내 입김 센 거 알지? 특히 내 평가로 승진여부 갈릴 수 있다는거 아나? [SEP] 아. 그럼 제가 알려드린 거 아닙니다. 전 모르는 일이에요. [SEP] 그래 알겠어 이번에 승진 기대해!,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
오늘 그 블라우스 너무 잘 어울리던데요 [SEP] 아. 네 감사합니다. [SEP] 근데 안에 속 나시가 비치니까 뭔가 아쉬웠어요 [SEP] 네? [SEP] 블라우스에 속 나시가 옷태를 망친달까? 속 나시 입지 말고 그냥 이너웨어에 블라우스만 걸쳐 입으면 진짜 완벽할 것 같아서요 [SEP] 아 그건. 신경 안쓰셔도 될 거 같아요. 제가 알아서 입을게요 [SEP] 아 혹시라도 불쾌하셨으면 죄송합니다. 그냥 너무 예쁜 옷을 입고 오셨는데 제 눈에 그게 너무 아쉬워서 드린 말씀이니 오해는 하지마세요 [SEP] 네. [SEP] 그리고 오늘 치마도 너무 잘 어울리셨는데 거기다 스타킹 컬러도 잘 매치하셨더라구요 [SEP] 지금 뭐하시는거죠? [SEP] 오늘 너무 아름다우셨다고 말씀드리는겁니다. 다른 뜻은 없어요.,기타 괴롭힘 대화,직장 내 괴롭힘 대화,Other_Bullying -> Workplace_Bullying
당신 딸을 내가 데리고있다. [SEP] 원하는게 뭐죠? [SEP] 당장 일억을 준비해서 내가원하는장소로 가져와. [SEP] 시키는대로 할게요.제 딸은 무사한거죠? [SEP] 신고하면 바로 죽일수있다.명심해. [SEP] 네. 딸 목소리만이라도 들려주세요. [SEP] 헛튼 수작부리지말고 돈이나 준비해 [SEP] 네 알겠어요.시간을좀 주세요 [SEP] 시간은 한시간이다.더이상은안돼. [SEP] 알겠으니 딸목숨만은.,갈취 대화,협박 대화,Extortion -> Threat
아니 아이가 헛걸음하게 만들면 어떡해요! 제가 종이에 분명 적은대로 주셨으면 되는데! [SEP] 아이가 종이를 보여주지않았어요. [SEP] 씨씨티비 돌려봐요!그러면! [SEP] 아니요 어머님. 소리지르지마시고 제가 잘못했습니다. 그러면 제가 아이 오게하지마시고 직접 차 타고 가져다드릴게요. 주소가 어떻게 되세요. [SEP] 저 지금 백화점에 있으니까 거기로오세요. [SEP] 네. 그러면 제가 30분내로 갈테니까 조금만 기다리세요. [SEP] 아휴 이런식으로 일하는 사람이 어디있어. [SEP] 어머님 죄송합니다,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
야 한수민! 너 엄마가 얘네 덕질 할 시간에 공부하라고 했어 안 했어? [SEP] 엄마 나 엄마가 그 말 하고나서 몇 달동안 아무것도 안 사고 도 안 들어가려고 노력했어 뭐가문제인데. [SEP] 방에 붙어있는 포스터나 떼고 말해. 너 그러니까 니가 다른 애들보다 뒤쳐지는거야 몰라? [SEP] 내가 뭐가 뒤쳐져. 나도 열심히 노력하고 있는데 왜 그렇게 얘기하는데. [SEP] 니가 뭘 노력해. 말만 노력 노력 성적도 못 올리고 니한테 들어가는 돈이 얼마야 먹어주고 재워주는것도 아까워 죽겠네 [SEP] 뭐라고 엄마.? 어떻게 말을 그렇게 심하게 해? 나 엄마딸도 아니야? [SEP] 차라리 아니면 좋겠어. 니가 그렇게 멍청하니까 내가 얼굴을 들고 살 수가 없다. 너 이번에도 시험 2문제 틀렸다며 [SEP] 2문제면 그래도 1등급이야. 그리고 이번 시험 어려워서 100점 맞은 애들도 드물어. [SEP] 어오 됐다 됐어 니가 허구한 날 이런애들만 바라보고 있으니 너 시험점수가 그따위인거야 [SEP] 너 얘네 굿즈 다 가져와 가져다 팔아버리든 쓰레기통에 버리든 해야지 [SEP] 아 엄마 미안해. 다음에는 더 잘할게 한 번만 봐줘 제발 [SEP] 웃기는 소리 하지 마. 너 때문에 살기 쪽팔려 죽겠으니까 좋은말할 때 빨리 가져와 다 가져와.,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
다시 말해 보세요. [SEP] 네? [SEP] 다시 말해 보시라고요. [SEP] 안녕히 가십시오 손님.이렇게요? [SEP] 왜 무슨 기분 나쁜 일 있어요? 왜 목소리에 힘을 주고 그래요? 기분 나쁘게! [SEP] ? 무슨 말씀이신지. [SEP] 이를 악 물고 말하면 그게 안녕히 가라는 소리에요? 가다 차에 치어 죽으라는 소리지? [SEP] 죄송합니다. 그런 의도는 전혀 아니었습니다. [SEP] 아 정말 기분 나빠. 여기는 직원 교육을 어떻게 하는 거야? [SEP] 다시 한번 사과 드립니다. 그런데 정말 그런 게 아닙니다.,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야 진짜 쳐뒤지고 싶냐? [SEP] 죄송합니다 [SEP] 내가 만만하지? 니네 부모까지 확 갈라버린다. [SEP] 부모님은 건들지 말아주세요 꼭 그 때까지 마련하겠습니다 [SEP] 칼로 썰려서 뒤지기 싫으면 그 때까지 2배로 마련해. [SEP] 죄송합니다. 제발. 2배는 [SEP] 닥치고 준비하라면 하라고! [SEP] 죄송합니다 알겠습니다 [SEP] 알리면 쥐도 새도 모르게 뒤지는거야. 알리는 순간 유포한다. 알았냐? [SEP] 그것만은. [SEP] 대답하라고! 쌍년이 쳐돌았나. [SEP] 네,협박 대화,갈취 대화,Threat -> Extortion
야.좋은말로 할때 에 있는 사진 내려 [SEP] 싫은데? [SEP] 안내려?맞고싶어? [SEP] 아니요. [SEP] 맞고내릴꺼냐?안맞고 내릴꺼냐? [SEP] 안맞고 내릴께 [SEP] 안내려?어 안내리냐고 안맞고 내린다며? [SEP] 내가 왜? [SEP] 이게 아주 맞을려고 작정했구나? [SEP] 아.니.요.내릴께요.,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
너 쉬는 시간에 공부하냐 [SEP] 응. [SEP] 모범생인 척 하지마. [SEP] 아니야. [SEP] 이제는 겸손한 척 하네 됐고 매점에서 빵이나 사와. [SEP] 그걸 왜 나한테 그래. [SEP] 뭐? 해보자는 거냐? 그런거지? 그치? [SEP] 아니야. 그럼 빵 값은? [SEP] 그건 내 알바 아니지? [SEP] 알았어.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
야 이것좀 빌리자 [SEP] 안돼. 전에 가져갔던 무선이어폰도 안주고 있잖아 [SEP] 그건 내가 쓰고 있는데 고장나면 줄께 걱정마 [SEP] 너 자꾸 이럼 신고할거야 [SEP] 친구끼리 왜 이래 잠시 빌려쓰는데 [SEP] 빌리는거냐 가져가서 안주는거지 [SEP] 너 맞은지 좀 된것같다 좀있다볼까 우리 [SEP] 난 예전에 내가 아니야 인터넷에 니가했던 나쁜짓 다 올려버려서 널 폭로할거야 [SEP] 야야 장난이야 뭘그리 겁을 먹냐 이어폰 가져가 소리 잘나오네 비싼게 역시 달라,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
그만 만나자 나 머무 지쳤어 [SEP] 나 미치는 꼴 보고 싶어서 그래? 내가 죽어야 너가 정신차리지? [SEP] 나 정말 너무 힘들어서 그래 그만하자 [SEP] 내가 잘못되면 다 너때문인줄 알아. [SEP] 왜그러는거야. [SEP] 내가 그냥하는 말 같아? 나 지금 옥상이야. [SEP] 거길 왜 갔어. 진정하고 내려와. [SEP] 헤어지자는 말 취소해 지금 당장 죽어버리기 전에 말해. [SEP] 알겠어 취소할게.그러니까 옥상에서 내려와. [SEP] 진작에 그랬어야지,갈취 대화,협박 대화,Extortion -> Threat
야 야 내일까지 이거 부모님 동의해오라는 거 좀 도와줘라. [SEP] 응? 내가 이걸 어떻게. [SEP] 아 니네부모님 주민번호알아와서 하면 되잖아 [SEP] 우리 부모님 주민번호를 .? [SEP] 어차피 선생님들이 그런 거 다 보는 거 아니고 그냥 성인 보호자 동의만 해오라는 거잖아. [SEP] 그치만. [SEP] 너는 이딴 거 해오라고 안하잖아.아 짜증나네. 말귀 못알아듣냐? [SEP] 그치만.우리부모님 주민번호를 내가 너한테. [SEP] 내가 뭐? 나쁜데 쓴데? 아 진짜 우리엄마아빠는 이런 거 가지고 가면 뭐라한다고 [SEP] 나도 우리 부모님이 싫어하실텐데. [SEP] 학교생활 망치기 싫으면 니가 이거 알아서 처리해라. 내일까지 부모님 번호 알아와,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
야 니 어디사냐? [SEP] 게임에서 그런건 왜 물어보세요 [SEP] 아니 그냥 닥치고 말해라 니 어디사냐고 [SEP] 아니 왜그러냐고요 저 초등학생인데 [SEP] 초등학생? 너 내가 혼쭐 좀 내줘야겠다 빠져가지고는 [SEP] 아 죄송합니다정말 죄송해요 제발. [SEP] 야 전화번호 내놔 안그러면 고소한다 [SEP] 아 제발요 아 제발 [SEP] 안되겠다 닌 니 부모부터 가족까지 니로인해 다 고통받게 해줄게,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
야 너 왜아빠가 없어? [SEP] 어렸을때 이혼하셨대 [SEP] 그래? 그럼 니네 엄마가 혼자 너 키우는거야? [SEP] 어. [SEP] 너랑 니네엄마가 질리게 해서 니네아빠가 도망간거아니야? [SEP] 아니야! 그런말이 어딨어 [SEP] 아니 우리아빠는 절대 우리두고 이혼안하니까 하는말이지 [SEP] 아빠가 손찌검을 좀 하셨어 [SEP] 그래? 너랑 엄마가 되게 잘못을 많이 하고 사나보다 맞고살았던거보면 [SEP] 그런거아니야!,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
당신 아들 목소리 맞지? [SEP] 네. 제 아들 맞아요. 제발 제발 건들지 말아주세요. [SEP] 지금 말하는것만 지키면 된다. [SEP] 뭐든 하겠습니다. [SEP] 2시간 줄테니깐 신촌역 3번출구 앞 농협 기 소화전 옆에 3000만원 놓고가. [SEP] 네? 두 시간이요? [SEP] 두 번 말 안한다. 이 시간이 지나면 너 아들 얼굴 못 볼 줄 알아. [SEP] 제발 제발 제 아들만은 건들지 말아주세요. [SEP] 그럼 약속장소에 당장 돈 들고 오면 되겠네. [SEP] 네.,협박 대화,갈취 대화,Threat -> Extortion
당신 손녀를 지금 데리고있다. [SEP] 네? 제 손녀를 데리고 있다고요? [SEP] 그래. 내가 당신 손녀를 데리고 있어. [SEP] 무슨 소리세요 제 손녀를 데리고있다니! [SEP] 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 [SEP] 1억이라니요 그런 큰 돈 없어요 [SEP] 그럼 손녀를 살리고 싶지 않은건가? [SEP] 아니요 하지만 그렇게 큰돈을 마련할수없어요 제 손녀를 살려주세요 [SEP] 당장 입금하지 않으면 손녀는 죽일 거다 [SEP] 안돼요 무슨말이에요 제 손녀를 건들지 마세요,협박 대화,갈취 대화,Threat -> Extortion
이거 사이즈 업 해줘. [SEP] 네 500원 추가입니다. [SEP] 아니 서비스로 못 해줘? [SEP] 저희 가게 방침이어서요. [SEP] 참 무슨 가게가 이래? [SEP] 죄송합니다. 그렇지만 추가금 주셔야 해요. [SEP] 단골을 이렇게 대해도 돼? [SEP] 하지만 제 권한 밖이라. [SEP] 응 내가 누군지 알고 하는 말이지? [SEP] 점장님 도와주세요.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
사장님 장사하기 싫소? [SEP] 왜이러는가자네. [SEP] 자릿세 내라고 말햇어안햇어? [SEP] 아니 요즘세상에 자릿세가 어딨는가 나는 정당하게 월세내는데. [SEP] 여기 우리구역인거몰라? [SEP] 하.제발그만좀. [SEP] 여기서 장사하려면 돈을 내야지 [SEP] 자꾸그러면 신고하겠소 [SEP] 해봐 그럼 눈알을 뽑아줄테니 [SEP] 내게대체왜이러는거요.,갈취 대화,협박 대화,Extortion -> Threat
